Jogo,Console,Gênero,Ano,Unidades Vendidas (Milhões),Preço Médio ($)
Game 24,PS4,Esporte,2018,9.61,68.31
Game 301,PS5,Corrida,2019,2.08,48.08
Game 11,Nintendo Switch,Aventura,2021,1.43,35.7
Game 461,PC,FPS,2012,2.79,23.14
Game 309,Nintendo Switch,Estratégia,2018,1.23,59.27
Game 303,Xbox One,Estratégia,2010,5.53,20.7
Game 399,Nintendo Switch,Ação,2016,4.1,50.3
Game 317,Xbox Series X,Luta,2015,1.13,24.57
Game 279,Xbox One,Esporte,2022,8.82,60.02
Game 209,Xbox Series X,Luta,2010,4.66,42.7
Game 475,Nintendo Switch,Luta,2017,3.59,27.39
Game 267,PS4,Corrida,2018,2.17,63.49
Game 239,Nintendo Switch,Aventura,2023,3.91,53.31
Game 276,PC,Aventura,2014,6.22,69.56
Game 465,PS4,FPS,2021,3.04,40.01
Game 176,Xbox Series X,Estratégia,2019,2.52,58.51
Game 320,PC,Corrida,2017,5.04,42.16
Game 458,PS5,Luta,2024,2.67,26.23
Game 114,Xbox One,Aventura,2024,2.81,48.04
Game 477,PS4,Ação,2019,6.0,46.71
Game 293,PS5,Corrida,2020,2.15,21.73
Game 159,PS4,Corrida,2022,0.88,49.48
Game 244,PS5,Ação,2011,7.72,42.45
Game 378,Xbox One,Aventura,2013,4.55,54.31
Game 353,Xbox One,Corrida,2020,9.24,22.47
Game 378,Xbox Series X,Aventura,2011,0.84,28.16
Game 458,Nintendo Switch,Corrida,2018,1.65,44.33
Game 177,PS4,Corrida,2023,6.44,57.07
Game 255,Xbox One,Esporte,2011,0.65,36.02
Game 46,PC,RPG,2015,5.05,24.57
Game 82,Xbox Series X,Corrida,2015,8.12,61.03
Game 73,Xbox Series X,Aventura,2018,4.1,63.04
Game 253,Xbox Series X,Ação,2021,4.18,64.82
Game 453,PS4,Aventura,2019,9.23,50.1
Game 177,PS4,Esporte,2013,2.71,21.59
Game 30,PS4,RPG,2020,6.27,52.56
Game 209,Xbox One,Luta,2013,9.53,67.01
Game 278,Xbox One,Esporte,2023,8.06,67.43
Game 357,PC,Estratégia,2016,8.01,33.1
Game 445,PS4,Estratégia,2019,1.46,48.4
Game 360,PS4,Estratégia,2019,7.75,56.24
Game 155,Xbox Series X,Estratégia,2024,2.58,43.31
Game 497,Xbox Series X,Estratégia,2020,8.33,57.41
Game 56,Xbox Series X,Corrida,2015,4.5,55.71
Game 65,PS4,Ação,2010,6.23,68.34
Game 24,PC,Ação,2024,5.32,63.94
Game 125,Nintendo Switch,Estratégia,2018,6.45,34.15
Game 68,Xbox One,Esporte,2021,4.91,27.0
Game 7,PC,Aventura,2018,1.1,66.62
Game 189,Xbox Series X,Ação,2016,3.93,26.5
Game 25,Nintendo Switch,Aventura,2018,3.25,62.66
Game 175,Xbox Series X,RPG,2022,4.67,53.31
Game 97,Xbox Series X,Esporte,2010,7.38,66.78
Game 128,PC,Ação,2020,1.49,23.63
Game 305,Xbox One,Corrida,2012,5.99,33.78
Game 228,Nintendo Switch,Ação,2012,2.49,48.42
Game 57,PS5,Luta,2015,8.42,26.96
